author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Popper, Karl Raimund","Karl Raimund Popper","Described by the philosopher A.J. Ayer as a work of 'great originality and power', this book revolutionized contemporary thinking on science and knowledge. Ideas such as the now legendary doctrine of 'falsificationism' electrified the scientific community, influencing even working scientists, as well as post-war philosophy. This astonishing work ranks alongside *The Open Society and Its Enemies* as one of Popper's most enduring books and contains insights and arguments that demand to be read to this day.
","/Users/natkite/Calibre Library/Karl Raimund Popper/The Logic of Scientific Discovery (56)/cover.jpg","2023-08-16T11:52:56-05:00","pdf","9780415278447","56","isbn:9780415278447,google:Yq6xeupNStMC,amazon:0415278449","eng","Calibre Library","2002-02-21T00:00:00-05:00","Routledge","4","","1.0","3587062","Philosophy, Logic, Science, Philosophy & Social Aspects, Humanities","The Logic of Scientific Discovery","Logic of Scientific Discovery, The","80a19578-0c5f-4666-810a-83dfd16c1ce9"
"Sunstein, Cass R.","Sunstein, Cass R. & Sibony, Olivier & Kahneman, Daniel","","/Users/natkite/Calibre Library/Sunstein, Cass R_/Noise_ A Flaw in Human Judgment (57)/cover.jpg","2023-08-16T11:58:59-05:00","azw3, epub","","57","","eng","Calibre Library","2021-05-18T00:00:00-05:00","Little, Brown and Company","","","1.0","3429974","","Noise: A Flaw in Human Judgment","Noise: A Flaw in Human Judgment","17c3ff16-1153-41af-aef3-28dfbf3981e3"
"Luhmann, Niklas & Luhmann, Professor Niklas","Niklas Luhmann & Professor Niklas Luhmann","Modern systems theory provides a new paradigm for the analysis of society. In this volume, Niklas Luhmann, its leading exponent, explores its implications for our understanding of law. Luhmann argues that current thinking about how law operates within a modern society is seriously deficient. In this volume he lays out the theoretical and methodological tools that, he argues, can advance our understanding of contemporary society and, in particular, of the identity, performance, and function of the legal system within that society. In systems theory, society is its communications: they are its empirical reality; the items that can be observed and studied. Systems theory identifies how communications operate within a physical world and how different sub-systems of communication operate alongside each other. In this volume, Luhmann uses systems theory to address a question central to legal theory: what differentiates law from other parts of society?
","/Users/natkite/Calibre Library/Niklas Luhmann/Law as a Social System (58)/cover.jpg","2023-08-16T11:58:59-05:00","pdf","9780198262381","58","google:0Ky_GPUMtpUC,isbn:9780198262381","eng","Calibre Library","2004-08-14T23:00:00-05:00","Oxford University Press","","","1.0","25985695","Law, Jurisprudence","Law as a Social System","Law as a Social System","e3d1a1e2-9e6d-4a95-ae39-380c3df62833"
"Wray, K. Brad","K. Brad Wray","Thomas Kuhn's The Structure of Scientific Revolutions offers an insightful and engaging theory of science that speaks to scholars across many disciplines. Though initially widely misunderstood, it had a profound impact on the way intellectuals and educated laypeople thought about science. K. Brad Wray traces the influences on Kuhn as he wrote Structure, including his 'Aristotle epiphany', his interactions, and his studies of the history of chemistry. Wray then considers the impact of Structure on the social sciences, on the history of science, and on the philosophy of science, where the problem of theory change has set the terms of contemporary realism/anti-realism debates. He examines Kuhn's frustrations with the Strong Programme sociologists' appropriations of his views, and debunks several popular claims about what influenced Kuhn as he wrote Structure. His book is a rich and comprehensive assessment of one of the most influential works in the modern sciences.
","/Users/natkite/Calibre Library/K. Brad Wray/Kuhn's Intellectual Path_ Charting the Structure of Scientific Revolutions (59)/cover.jpg","2023-08-16T11:58:59-05:00","pdf","9781009079167","59","isbn:9781009079167,google:u-9DEAAAQBAJ","eng","Calibre Library","2021-09-29T23:00:00-05:00","Cambridge University Press","","","1.0","3379127","Science, Philosophy & Social Aspects, History, General, Philosophy, Logic, Metaphysics","Kuhn's Intellectual Path: Charting the Structure of Scientific Revolutions","Kuhn's Intellectual Path: Charting the Structure of Scientific Revolutions","339d66b2-8062-483c-83d9-91f0aa406e70"
"Hinuber, Oskar von","Oskar von Hinuber","The Handbook deals with the whole of the literature in Pali, the liturgical language of Theravada Buddhism, which is still alive in Ceylon and South-East Asia. In addition to reviewing the canonical texts (Tipitaka) which forms the oldest body of extant Buddhist literature, and their commentaries, the Handbook presents the later Pali literature, written after the 12th century, much of which is only available in Oriental prints. The account not only summarizes the findings of earlier research, but extends the scope of a handbook by demonstrating new methodological approaches to the canonical literature, for example by showing how the strict formal structure of the Sutra texts is determined in part by their oral transmission. Questions of the authorship of the commentaries on the canon (post-5th century AD) are revisited and the chronology of the texts critically examined. By comparing parallel commentaries, insights are gained into the structure of this comprehensive structure. Access to the Handbook is provided by a number of indexes.
**
### Language Notes
Text: English (translation)  
Original Language: Persian 
","/Users/natkite/Calibre Library/Oskar von Hinuber/A Handbook of Pali Literature (60)/cover.jpg","2023-08-16T12:10:50-05:00","pdf","9788121507783","60","amazon:8121507782,isbn:9788121507783","eng","Calibre Library","2008-09-01T23:00:00-05:00","Munshiram Manoharlal","5","","1.0","9118676","Buddhism, Theravada, Tipitaka, Pali canon, Buddhist literature, Pali liteature, History","A Handbook of Pali Literature","Handbook of Pali Literature, A","99cef062-c29a-4f98-a4b2-3c964bee47d8"
"Freire, Paulo","Paulo Freire","With the publication of Pedagogy of the Oppressed, Paulo Freire established himself as one of the most important and radical educational thinkers of his time. In Pedagogy of Hope, Freire revisits the themes of his masterpiece, the real world contexts that inspired them and their impact in that very world. Freire's abiding concern for social justice and education in the developing world remains as timely and as inspiring as ever, and is shaped by both his rigorous intellect and his boundless compassion. Pedagogy of Hope is a testimonial to the inner vitality of generations denied prosperity and to the often-silent, generous strength of millions throughout the world who refuse to let hope be extinguished. This edition includes a substantial new introduction by Henry A. Giroux, University Chair for Scholarship in the Public Interest and the Paulo Freire Distinguished Scholar in Critical Pedagogy at McMaster University, Canada. 
Translated by Robert R. Barr.
","/Users/natkite/Calibre Library/Paulo Freire/Pedagogy of Hope_ Reliving Pedagogy of the Oppressed (61)/cover.jpg","2023-08-17T12:57:44-05:00","pdf","9781350190221","61","isbn:9781350190221,google:jY0vEAAAQBAJ","eng","Calibre Library","2021-05-19T23:00:00-05:00","Bloomsbury Publishing","","","1.0","5943959","Education, Philosophy; Theory & Social Aspects","Pedagogy of Hope: Reliving Pedagogy of the Oppressed","Pedagogy of Hope: Reliving Pedagogy of the Oppressed","e322dd5f-2be0-45ba-84ce-fef9036a5d20"
"Khan, Salman","Salman Khan","A free, world-class education for anyone, anywhere: this is the goal of the Khan Academy, a passion project that grew from an ex-engineer and hedge funder's online tutoring sessions with his niece, who was struggling with algebra, into a worldwide phenomenon. Today millions of students, parents, and teachers use the Khan Academy's free videos and software, which have expanded to encompass nearly every conceivable subject; and Academy techniques are being employed with exciting results in a growing number of classrooms around the globe. 
Like many innovators, Khan rethinks existing assumptions and imagines what education could be if freed from them. And his core idea-liberating teachers from lecturing and state-mandated calendars and opening up class time for truly human interaction-has become his life's passion. Schools seek his advice about connecting to students in a digital age, and people of all ages and backgrounds flock to the site to utilize this fresh approach to learning. 
In The One World Schoolhouse, Khan presents his radical vision for the future of education, as well as his own remarkable story, for the first time. In these pages, you will discover, among other things: 
  * How both students and teachers are being bound by a broken top-down model invented in Prussia two centuries ago 
  * Why technology will make classrooms more human and teachers more important 
  * How and why we can afford to pay educators the same as other professionals 
  * How we can bring creativity and true human interactivity back to learning 
  * Why we should be very optimistic about the future of learning.


Parents and politicians routinely bemoan the state of our education system. Statistics suggest we've fallen behind the rest of the world in literacy, math, and sciences. With a shrewd reading of history, Khan explains how this crisis presented itself, and why a return to ""mastery learning,"" abandoned in the twentieth century and ingeniously revived by tools like the Khan Academy, could offer the best opportunity to level the playing field, and to give all of our children a world-class education now. 
More than just a solution, The One World Schoolhouse serves as a call for free, universal, global education, and an explanation of how Khan's simple yet revolutionary thinking can help achieve this inspiring goal.
### Review
""Since its founding in 2006, Sal Khan's project-the Khan academy-has revolutionized our thinking on the potential and promise of unfettered, open-access online education. In his new book The One World Schoolhouse, Khan presents his vision and blueprint for how online technology can, and should, play an integral role in educating communities across the globe, closing the opportunity gap and providing high-quality education for all.""―Al Gore 
""In this book, Salman Khan sheds light on how our current education system leaves a gap in every student's core knowledge. He found ways to fill this gap by encouraging differentness, fresh thinking and implementing creativity in the learning process. I strongly believe that all human beings have unlimited creative power. The role of education is to unleash that power. The way he relates the proper goal of education and the natural bent of the child is fascinating. He refers ""natural bent"" as the particular mix of talents and perspectives that makes each mind unique, and allows minds to be strikingly original. The way Khan portrays the concept of education and the mechanism of learning is revolutionary. This book is a must-read for those providing real education to our children in this new age of technology.""―Muhammed Yunus, the founder of Grameen Bank, and the 2006 recipient of the Nobel Peace Prize 
""Sal Khan's passion and innovation is transforming learning for millions of students worldwide. The One World School is a must-read for all who are committed to improving education so students everywhere can gain the skills and knowledge to be successful in school, careers and life.""―George Lucas, Filmmaker and Founder of The George Lucas Educational Foundation, publisher of Edutopia 
""I discovered Sal Khan and Khan Academy like most other people - by using these incredible tools with my own kids. Sal Khan's vision and energy for how technology could fundamentally transform education is contagious. He's a true pioneer in integrating technology and learning. I'm happy that, through this book, even more people will be introduced to this ground-breaking innovator.""―Bill Gates, co-founder & Chairman, Microsoft 
""The world dreams of education reform, and Sal Khan is delivering. His pioneering video lessons have brought the thrill of learning to millions. In this compelling book, he tells the remarkable story of Khan Academy, and explains the potential in students learning at their own pace and achieving true subject mastery.""―Chris Anderson, TED Curator 
""Sal Khan makes a powerful argument for fundamentally rethinking the way we teach and learn. THE ONE WORLD SCHOOLHOUSE illuminates the tremendous potential for online, universaleducation to enable any child, anywhere in the world, to succeed-not only in school, but in shaping our future.""―Eric Schmidt, Executive Chairman of Google 
""Sal Khan is changing what we believe is possible in education. Through humor, charm, contagious enthusiasm and quiet brilliance, Sal Khan has made his lessons irresistible. Now, he brings those same gifts to explaining the revolutionary ideas behind Khan Academy. You'll adore this book because it's just like his lessons-approachable, good-hearted, smart, and ultimately profound. The story Sal tells is quite simply the story of what education will become... and indeed IS becoming, thanks to his example and to a generation of inspired teachers and intrepid education entrepreneurs.""―Ted Mitchell, President and CEO, NewSchools Venture Fund 
""When you read this book, you will understand how the dignity of each student is addressed by education's visionary, Sal Khan.""―Ann Doerr 
""Sal Khan has developed the best and most cost-efficient way to use technology to bring high quality education, creativity and innovation to all countries, including the poorest.""―Carlos Slim Helu
### About the Author
**Salman Khan** was born and raised in Metairie, Louisiana, to immigrant parents from India and Bangladesh. Before founding the Khan Academy, he was a hedge fund analyst. He's also worked in venture capital and engineering at Oracle and several Silicon Valley start-ups. Khan holds an MBA from Harvard Business School, where he was president of his class, and three degrees from MIT.
","/Users/natkite/Calibre Library/Salman Khan/One World Schoolhouse (62)/cover.jpg","2023-08-17T12:57:47-05:00","pdf","9781455508372","62","amazon:1455508373,isbn:9781455508372","eng","Calibre Library","2013-07-29T23:00:00-05:00","Twelve","5","","1.0","5889519","","One World Schoolhouse","One World Schoolhouse","acd5f866-af34-4963-9d0a-207dfa8871ee"
"Illich, Ivan","Ivan Illich","Schools have failed our individual needs, supporting false and misleading notions of 'progress' and development fostered by the belief that ever-increasing production, consumption and profit are proper yardsticks for measuring the quality of human life. Our universities have become recruiting centers for the personnel of the consumer society, certifying citizens for service, while at the same time disposing of those judged unfit for the competitive rat race. In this bold and provocative book, Illich suggest some radical and exciting reforms for the education system.
","/Users/natkite/Calibre Library/Ivan Illich/Deschooling Society (63)/cover.jpg","2023-08-17T12:57:59-05:00","pdf","9780714508795","63","google:ZBfp-3CqdcoC,isbn:9780714508795,amazon:0714508799","eng","Calibre Library","2000-07-01T23:00:00-05:00","Marion Boyars","4","","1.0","657439","","Deschooling Society","Deschooling Society","e2f95144-528e-4ecb-884c-7a350fac0527"
"()","Gardner & Nicolio;","()","/Users/natkite/Calibre Library/Gardner/A Maximum Flow algorithm to locate non-attacking queens on a nxn chessboard (64)/cover.jpg","2023-08-17T12:58:06-05:00","pdf","","64","","","Calibre Library","2014-10-22T08:17:45-05:00","","","","1.0","562150","","A Maximum Flow algorithm to locate non-attacking queens on a nxn chessboard","()","30be51b9-c214-4590-947e-a2ab5854a1c7"
"Joseph, Tony","Tony Joseph","To tell us the story of our ancestors, Tony Joseph uses DNA evidence to trace the large migrations of modern humans into India &#8211; of agriculturists from Iran between 7000 BCE and 3000 BCE and pastoralists from the Central Asian Steppe between 2000 BCE and 1000 BCE. In this book, Joseph takes head-on some of the most controversial and uncomfortable questions of Indian history: Who were the Harappans? Did the &#8216;Aryans&#8217; really migrate to India? Are Scheduled Tribes genetically distinct from the rest of the population?","/Users/natkite/Calibre Library/Tony Joseph/Early Indians_ The Story of Our Ancestors and Where We Came From (67)/cover.jpg","2023-10-17T16:40:46-05:00","azw3, mobi","","67","mobi-asin:B07YYM1CM4","eng","Calibre Library","2018-12-20T00:00:00-05:00","Juggernaut Publication","","","1.0","4451172","Non-Fiction","Early Indians: The Story of Our Ancestors and Where We Came From","Early Indians: The Story of Our Ancestors and Where We Came From","9bce8404-695c-4cfd-b823-98fb0e9e7c83"
"Weir, Andy","Andy Weir","**A lone astronaut must save the earth from disaster in this incredible new science-based thriller from the #1** New York Times **bestselling author of** The Martian **.  
  
“A novel that would have delighted Robert A. Heinlein and Isaac Asimov.”—George R. R. Martin, author of **A Game of Thrones **  
  
“Weir’s finest work to date . . . the one book I read last year that I am certain I can recommend to anyone, no matter who, and know they’ll love it.”—Brandon Sanderson, author of the Stormlight Archive series**  
  
Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish.  
  
Except that right now, he doesn’t know that. He can’t even remember his own name, let alone the nature of his assignment or how to complete it.  
  
All he knows is that he’s been asleep for a very, very long time. And he’s just been awakened to find himself millions of miles from home, with nothing but two corpses for company.  
  
His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it’s up to him to puzzle out an impossible scientific mystery—and conquer an extinction-level threat to our species.  
  
And with the clock ticking down and the nearest human being light-years away, he’s got to do it all alone.  
  
Or does he?  
  
An irresistible interstellar adventure as only Andy Weir could deliver, *Project Hail Mary* is a tale of discovery, speculation, and survival to rival *The Martian* —while taking us to places it never dreamed of going.
**Amazon.com Review**
**An Amazon Best Book of May 2021:** As Ryland Grace awakens from a coma, he doesn’t know who he is or where he is, but a mix of calculations, deductions, and slowly returning memories enlightens him: He’s a junior high school science teacher on a small space ship. His mission? Save Earth. As in *The Martian* , Weir makes science and problem solving not only cool but absolutely essential to survival, delivering an electrifying space adventure that yanks at both the gut and the heart strings. Readers will absorb facts about gravity and heavy metals even as Grace races against the clock and builds an unexpected partnership while hurtling through the cold depths of space. *—Adrian Liang, Amazon Book Review*
### **Review**
“A propulsive adventure.” **—** Entertainment Weekly  
  
“Weir spins a space yarn in a way only he can. Fans of his earlier works won’t be disappointed.” **—** Newsweek  
  
“Andy Weir proves once again that he is a singular talent. *Project Hail Mary* is so fascinating and propulsive that it’s downright addictive. From the first page as Ryland wakes up not knowing who or where he is, I was hooked.” **—Taylor Jenkins Reid,** New York Times **bestselling author of** Daisy Jones & The Six **  
  
“Reading *Project Hail Mary* is like going on a field trip to outer space with the best science teacher you’ve ever had—and your class assignment is to save the world. This is one of the most original, compelling, and fun voyages I’ve ever taken.” **—Ernest Cline, #1** New York Times **bestselling author of** Ready Player One  
  
“Two worlds in peril, a competent (but flawed and human) man, a competent alien, unending scientific puzzles to unravel, with humanity itself at risk, this one has everything fans of old school SF (like me) love. If you like a lot of science in your science fiction, Andy Weir is the writer for you.” **—George R. R. Martin,** New York Times **bestselling author of** A Game of Thrones  
  
“I loved *The Martian,* but I actually find *Project Hail Mary* to be Mr. Weir’s finest work to date. It’s somehow both exciting, yet also personal. I’m constantly amazed by how well Mr. Weir continues to write wonderfully accessible science fiction without compromising either the science or the fiction.” **—Brandon Sanderson,** New York Times **bestselling author of the Stormlight Archive series**  
  
“Brilliantly funny and enjoyable . . . one of the most plausible science fiction books I’ve ever read.” **—Tim Peake, ESA astronaut and internationally bestselling author of** Limitless  
  
“Thrilling doesn’t even begin to describe *Project Hail Mary* , which is undisputedly the best book I’ve read in a very, very long time . . . I cheered, I laughed (a lot), I cried, and when the twist arrived and the book revealed its true target, my jaw hit the floor. Mark my words: *Project Hail Mary* is destined to become a classic.” **—Blake Crouch,** New York Times **bestselling author of  
** Recursion **and** Dark Matter  
  
“A joy to read . . . with *Project Hail Mary,* Weir is leaning hard into all that made *The Martian* kick.” **—** Locus  
  
“Readers may find themselves consuming this emotionally intense and thematically profound novel in one stay-up-all-night-until-your-eyes-bleed sitting. An unforgettable story of survival and the power of friendship—nothing short of a science fiction masterwork.”—Kirkus Reviews **(starred review)**
### **About the Author**
**Andy Weir** built a two-decade career as a software engineer until the success of his first published novel, *The Martian,* allowed him to live out his dream of writing full-time. He is a lifelong space nerd and a devoted hobbyist of such subjects as relativistic physics, orbital mechanics, and the history of manned spaceflight. He also mixes a mean cocktail. He lives in California. 
","/Users/natkite/Calibre Library/Andy Weir/Project Hail Mary (68)/cover.jpg","2023-10-27T13:27:27-05:00","azw3, epub","9780593135204","68","goodreads:54493401,google:QbyGzQEACAAJ,mobi-asin:B08FHBV4ZX,amazon:B08FHBV4ZX,isbn:9780593135204","eng","Calibre Library","2021-05-15T00:00:00-05:00","Ballantine Books","","","1.0","1032916","","Project Hail Mary","Project Hail Mary","674bc818-91e9-47fc-982c-9f950ab8933c"
"Dostoyevsky, Fyodor","Fyodor Dostoyevsky","","/Users/natkite/Calibre Library/Fyodor Dostoyevsky/Notes from Underground and the Double (69)/cover.jpg","2023-10-27T16:57:05-05:00","azw3, epub","","69","sigilgen:AKG2166242B9OVN4WH4NHWMBEI0MID","eng","Calibre Library","0100-12-31T19:00:00-05:00","ePenguin Classics","","","1.0","572903","","Notes from Underground and the Double","Notes from Underground and the Double","6bee6f7e-e62b-4d86-9543-f4364d64280c"
"Verghese, Abraham","Abraham Verghese","<p><b>From the <i>New York Times</i>&#8211;bestselling author of <i>Cutting for Stone</i> comes a stunning and magisterial epic of love, faith, and medicine, set in Kerala, South India, and following three generations of a family seeking the answers to a strange secret</b></p><p><i>The Covenant of Water</i> is the long-awaited new novel by Abraham Verghese, the author of the major word-of-mouth bestseller <i>Cutting for Stone</i>, which has sold over 1.5 million copies in the United States alone and remained on the <i>New York Times</i> bestseller list for over two years.</p><p>Spanning the years 1900 to 1977, <i>The Covenant of Water</i> is set in Kerala, on South India's Malabar Coast, and follows three generations of a family that suffers a peculiar affliction: in every generation, at least one person dies by drowning&#8212;and in Kerala, water is everywhere. At the turn of the century, a twelve-year-old girl from Kerala's long-existing Christian community, grieving the death...","/Users/natkite/Calibre Library/Abraham Verghese/The Covenant of Water (70)/cover.jpg","2023-10-31T20:11:13-05:00","azw3, epub","","70","","ara,eng","Calibre Library","2023-04-04T12:54:29-05:00","Grove Atlantic","","","1.0","5681200","","The Covenant of Water","Covenant of Water, The","d715849a-7fee-4d75-a12b-3a3af5e0bfdb"
"Mosley, Walter","Walter Mosley","<p><strong>Intergalactic visions, deadly threats, and explosive standoffs between mostly good and nearly completely evil converge in an alternative fiction novel that could only be conceived by the inimitable Walter Mosley, one of the country's most beloved and acclaimed writers.</strong></p>&#10;<p>Martin Just wakes up one morning after what feels like, and might actually be, a centuries-long sleep with two new innate pieces of knowledge: Humanity is a virus destined to destroy all existence. And that he is the Cure.</p>&#10;&#10;&#10;<p>Martin, his wife, and his two children are the only Black family on their neighborhood block in the Hollywood hills of Los Angeles. Suddenly, Martin is both father and Antibody, husband and Cure, occasionally slipping into an alternate consciousness &#8211; equipped with unprecedented physical strength &#8211; to violently defend them.</p>&#10;&#10;<p>The family is stalked by Tor Waxman &#8211; the pale, white-haired embodiment of death who wears...","/Users/natkite/Calibre Library/Walter Mosley/Touched (71)/cover.jpg","2023-10-31T20:19:00-05:00","azw3, epub","","71","","ara,eng","Calibre Library","2023-10-03T13:22:03-05:00","Grove Atlantic","","","1.0","466704","","Touched","Touched","8ff8a3a0-586f-4b03-97c1-03947e3fb062"
"Scalzi, John","John Scalzi","**Inheriting your uncle's supervillain business is more complicated than you might think. Particularly when you discover who's running the place.**  
Charlie's life is going nowhere fast. A divorced substitute teacher living with his cat in a house his siblings want to sell, all he wants is to open a pub downtown, if only the bank will approve his loan.  
Then his long-lost uncle Jake dies and leaves his supervillain business (complete with island volcano lair) to Charlie.   
But becoming a supervillain isn't all giant laser death rays and lava pits. Jake had enemies, and now they're coming after Charlie. His uncle might have been a stand-up, old-fashioned kind of villain, but these are the real thing: rich, soulless predators backed by multinational corporations and venture capital.   
It's up to Charlie to win the war his uncle started against a league of supervillains. But with unionized dolphins, hyper-intelligent talking spy cats, and a terrifying henchperson at his side, going bad is starting to look pretty good.  
In a dog-eat-dog world...be a cat. 
","/Users/natkite/Calibre Library/John Scalzi/Starter Villain (72)/cover.jpg","2023-10-31T20:19:00-05:00","azw3, epub","9780765389220","72","amazon:0765389223,mobi-asin:B0B9KVXCQ6,isbn:9780765389220,goodreads:61885029,google:5eiuEAAAQBAJ,barnesnoble:1141976532","eng","Calibre Library","2023-09-19T00:00:00-05:00","","4","","1.0","606961","Fiction, Science Fiction, Action & Adventure, Superheroes","Starter Villain","Starter Villain","48d6b479-9293-46d9-bbef-6f1073a69fdf"
"Kadrey, Richard","Richard Kadrey","<p><b>Bestselling authors Cassandra Khaw and Richard Kadrey have teamed up to deliver a dark new story with magic, monsters, and mayhem, perfect for fans of Neil Gaiman and Joe Hill.</b><br>Julie is a coked-up, burnt-out thirty-year-old whose only retirement plan is dying early. She's been trying to establish herself in the NYC magic scene, and she'll work the most gruesome gigs, exorcize the nastiest demons, and make deals with the cruelest gods to claw her way to the top. But nothing can prepare her for the toughest job yet: when her best friend, Sarah, shows up at her door in need of help. Keeping Sarah safe becomes top priority. <br> Julie is desperate for a quick fix to break the dead-end grind and save her friend. But her power grab sets off a deadly chain of events that puts Sarah &#8211; and the entire world - directly in the path of annihilation.<br> The first explosive adventure in the Carrion City Duology, <i>The Dead Take the A Train</i> fuses <b>Cassandra Khaw</b>'s...","/Users/natkite/Calibre Library/Richard Kadrey/The Dead Take the a Train (73)/cover.jpg","2023-10-31T20:19:28-05:00","azw3, epub","","73","","eng","Calibre Library","0100-12-31T19:00:00-05:00","Tor Publishing Group","","","1.0","3299406","","The Dead Take the a Train","Dead Take the a Train, The","176166f1-0797-4397-8c7c-3e05ce3798f1"
"Kanisetti, Anirudh","Anirudh Kanisetti","","/Users/natkite/Calibre Library/Anirudh Kanisetti/Lords of the Deccan_ Southern India from the Chalukyas to the Cholas (74)/cover.jpg","2023-11-02T10:28:48-05:00","azw3, epub","","74","mobi-asin:B09RHH5SD3","eng","Calibre Library","2022-01-29T13:30:00-05:00","","","","1.0","4589491","","Lords of the Deccan: Southern India from the Chalukyas to the Cholas","Lords of the Deccan: Southern India from the Chalukyas to the Cholas","57ec3e14-bb25-43e3-9208-f06ee6f6ce91"
"Faxian","Faxian","","/Users/natkite/Calibre Library/Faxian/A Record of Buddhistic Kingdoms _ Being an account by the Chinese monk Fa-hsien of travels in In (75)/cover.jpg","2023-11-03T11:43:21-05:00","azw3, mobi","","75","mobi-asin:ec0df73e-f210-46e0-88ab-63c22907c4a5","eng","Calibre Library","2006-03-27T19:00:00-05:00","","","","1.0","1316467","Buddhist pilgrims and pilgrimages -- India -- Early works to 1800, Buddhism -- Early works to 1800, Asia -- Description and travel -- Early works to 1800","A Record of Buddhistic Kingdoms / Being an account by the Chinese monk Fa-hsien of travels in India and Ceylon (A.D. 399-414) in search of the Buddhist books of discipline","Record of Buddhistic Kingdoms / Being an account by the Chinese monk Fa-hsien of travels in India and Ceylon (A.D. 399-414) in search of the Buddhist books of discipline, A","ac2363ad-54f3-4b1c-a92d-d82f3ada5c20"
"Polo, Marco & Rusticiano, da Pisa","Marco Polo & da Pisa Rusticiano","","/Users/natkite/Calibre Library/Marco Polo/The Travels of Marco Polo -- Volume 2 (76)/cover.jpg","2023-11-03T11:48:59-05:00","azw3, mobi","","76","mobi-asin:9c2de1b4-1050-45a2-9bc7-a9ed31086ec6","eng","Calibre Library","2004-05-01T19:00:00-05:00","","","","1.0","28856661","Voyages and travels, Asia -- Description and travel -- Early works to 1800, Mongols -- History, Polo, Marco, 1254-1323?","The Travels of Marco Polo — Volume 2","Travels of Marco Polo — Volume 2, The","0e80d662-60d1-47d8-9aee-8fc8e6b1d046"
"Polo, Marco & Rusticiano, da Pisa","Marco Polo & da Pisa Rusticiano","","/Users/natkite/Calibre Library/Marco Polo/The Travels of Marco Polo -- Volume 1 (77)/cover.jpg","2023-11-03T11:48:59-05:00","azw3, mobi","","77","mobi-asin:90e297ec-95ff-4211-b5e8-03ba7453fb16","eng","Calibre Library","2004-01-01T19:00:00-05:00","","","","1.0","29940156","Voyages and travels, Asia -- Description and travel -- Early works to 1800, Mongols -- History, Polo, Marco, 1254-1323?","The Travels of Marco Polo — Volume 1","Travels of Marco Polo — Volume 1, The","8e81ab16-df30-4595-8444-91de214f791e"
"McCrindle, John Watson","John Watson McCrindle","","/Users/natkite/Calibre Library/John Watson McCrindle/The Invasion of India by Alexander the Great as described by Arrian, Q. Curtius, Diodoros, Pluta (78)/cover.jpg","2023-11-03T11:53:13-05:00","azw3, mobi","","78","mobi-asin:0662f145-3f9b-4d34-b40b-c9ce1b797c6e","eng","Calibre Library","2021-09-26T19:00:00-05:00","","","","1.0","2915864","Alexander, the Great, 356 B.C.-323 B.C., India -- History -- To 324 B.C. -- Sources","The Invasion of India by Alexander the Great as described by Arrian, Q. Curtius, Diodoros, Plutarch and Justin: Being Translations of such portions of the Works of these and other Classical Authors as describe Alexander's Campaigns in Afghanistan, the Panjâb, Sindh, Gedrosia and Karmania","Invasion of India by Alexander the Great as described by Arrian, Q. Curtius, Diodoros, Plutarch and Justin: Being Translations of such portions of the Works of these and other Classical Authors as describe Alexander's Campaigns in Afghanistan, the Panjâb, Sindh, Gedrosia and Karmania, The","811279bf-1065-4d4f-8ae3-9f07d8fc6c58"
"Powers, Richard","Richard Powers","<p>A monumental novel about trees and people by one of our most ""prodigiously talented"" (The New York Times Book Review) novelists.</p><p>An Air Force loadmaster in the Vietnam War is shot out of the sky, then saved by falling into a banyan. An artist inherits a hundred years of photographic portraits, all of the same doomed American chestnut. A hard-partying undergraduate in the late 1980s electrocutes herself, dies, and is sent back into life by creatures of air and light. A hearing- and speech-impaired scientist discovers that trees are communicating with one another. These four, and five other strangers&#8212;each summoned in different ways by trees&#8212;are brought together in a last and violent stand to save the continent's few remaining acres of virgin forest.</p><p>In his twelfth novel, National Book Award winner Richard Powers delivers a sweeping, impassioned novel of activism and resistance that is also a stunning evocation of&#8212;and paean to&#8212;the natural...","/Users/natkite/Calibre Library/Richard Powers/The Overstory (79)/cover.jpg","2023-11-06T16:49:45-05:00","azw3, epub","9780393635539","79","isbn:9780393635539","eng","Calibre Library","0100-12-31T19:00:00-05:00","W. W. Norton & Company","","","1.0","6043410","","The Overstory","Overstory, The","b3f3c49a-df62-4338-87d7-d334b4bf8342"
"Emerson, Ralph Waldo","Ralph Waldo Emerson","""Nothing is at last sacred but the integrity of your own mind. 
""-Ralph Waldo Emerson, The Over-Soul The Over-Soul (1841) is a treatise on transcendentalism. Emerson was one of the original authors of this philosophical system, and in his essay, he argues the basic principles of individualism and free thought. He also elaborates on his belief that God lives in each of us, that we can communicate with the spiritual world without any formal religious affiliation, and that our souls are limitless, free to rise above the petty circumstances of daily life and to merge with the universal spirit.
","/Users/natkite/Calibre Library/Ralph Waldo Emerson/The Over-Soul (80)/cover.jpg","2023-11-06T16:52:41-05:00","azw3, pdf","9781646795048","80","google:DZkQzwEACAAJ,isbn:9781646795048","eng","Calibre Library","1841-10-15T00:00:00-05:00","Cosimo Classics","","","1.0","1460401","Literary Collections, Essays","The Over-Soul","Over-Soul, The","a680c216-3394-4e6f-b7ee-32b43cc60d26"
